Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT4Mr7X7KM0bGbnAYlaJs6IA,Interest,NEXO,0.09393560,NEXO,0.09393560,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-19 23:00:02
NXT61dq6YIJXt3oJETZtCtDzx,Interest,NEXO,0.88286398,NEXO,0.88286398,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-18 23:00:03
NXTtsxFvY4DPGBvMev7jyxta,Interest,NEXO,0.07122751,NEXO,0.07122751,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-18 23:00:03
NXT4tllhkwOwNUm6zyjuno5LZ,Interest,NEXO,0.07259084,NEXO,0.07259084,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-17 23:00:03
NXT1p8GrFKZ1kQrmzbSr7IL3i,Interest,NEXO,0.90486669,NEXO,0.90486669,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-17 23:00:03
NXT5jfMaMcgacB5ykynJysP8m,Interest,NEXO,0.06676874,NEXO,0.06676874,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-16 23:00:03
NXTvJiLzL5w2IopwAm1ZoYZc,Interest,NEXO,0.83288152,NEXO,0.83288152,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-16 23:00:03
NXT6nXa5HgyIv30CkTJ5MQpEc,Interest,NEXO,0.78658895,NEXO,0.78658895,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-15 23:00:03
NXTznsJzvBvAj8LyBjTAjwbL,Interest,NEXO,0.06306411,NEXO,0.06306411,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-15 23:00:03
NXT3PVOJg1KkMy3oVOdqddYSh,Interest,NEXO,0.70618778,NEXO,0.70618778,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-14 23:00:03
NXT2ECvkrJllEzxIoJzrm7yeG,Interest,NEXO,0.05659389,NEXO,0.05659389,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-14 23:00:03
NXT7eR855QbJlNdWguPhPOnrx,Interest,NEXO,0.06155954,NEXO,0.06155954,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-13 23:00:02
NXT1mp2TMaSxSxxeP9ho9lclS,Interest,NEXO,0.77233207,NEXO,0.77233207,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-13 23:00:02
NXT6tZPjJjX2Xh0OID7lmPnnW,Interest,NEXO,0.71169271,NEXO,0.71169271,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-12 23:00:03
NXT1ihdTP9dEvv0tUHrxitWQ4,Interest,NEXO,0.05672252,NEXO,0.05672252,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-12 23:00:03
NXT5Qxsq85zNEIQdzq6LsLLEI,Interest,NEXO,0.70455095,NEXO,0.70455095,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-11 23:00:03
NXTvRlFxQxVhyiOZsE5hBgwm,Interest,NEXO,0.05648339,NEXO,0.05648339,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-11 23:00:03
NXT1j2gXgXZxeEx5cmvOWqX0h,Interest,NEXO,0.70927773,NEXO,0.70927773,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-10 23:00:03
NXT1759pzVMB5eovFRuVEUGVk,Interest,NEXO,0.05682047,NEXO,0.05682047,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-10 23:00:03
NXT7fRjIHrl04EiQiAn3F22Lq,Interest,NEXO,0.71271761,NEXO,0.71271761,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-09 23:00:03
NXT1eZjkOEP37eH9IabjKHD2X,Interest,NEXO,0.05724007,NEXO,0.05724007,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-09 23:00:03
NXT2xRLKGAPtTxbxJpbtpmcM0,Locking Term Deposit,LINK,-250.00000000,LINK,250.00000000,$12781.71,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2021-05-09 22:51:19
NXT5RMP5TO9HpnjORRL4WHaon,Locking Term Deposit,XRP,-3000.64479300,XRP,3000.64479300,$4543.47,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2021-05-09 22:50:08
NXT35scI5qYl9f60ccxAZyfuZ,Locking Term Deposit,ETH,-13.00000000,ETH,13.00000000,$50502.39,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2021-05-09 22:46:27
NXT5cSWuZnilnoJp3NNytJUyo,Locking Term Deposit,BTC,-0.25379563,BTC,0.25379563,$14754.47,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2021-05-09 22:44:09
NXT5P3nuK4toCHbqLiIc4GYL8,Fixed Term Interest,NEXO,7.29302603,NEXO,7.29302603,$28.41,-,-,"approved / Term Deposit Interest",2021-05-09 02:00:02
NXT4G1TIZYGuiBUKGYlxF0Tlw,Unlocking Term Deposit,XRP,3000.64479300,XRP,3000.64479300,$4772.51,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2021-05-09 02:00:02
NXT7Y8qfqpy6JBhzxVJCLoTX3,Interest,NEXO,0.05610627,NEXO,0.05610627,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-08 23:00:03
NXT5INHUNk9NCCqb3m605HGa7,Interest,NEXO,0.69881646,NEXO,0.69881646,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-08 23:00:03
